City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI,AQI_Bucket,Avg Temp,Avg dew point,Avg humidity,Avg windspeed,Avg pressure,,,,,,,,,,,
Thiruvananthapuram,01-01-2018,64.62,88.43,1.88,8.79,6.13,8.34,1.28,3.51,46.69,7.79,2.62,106,Moderate,82.3,74.3,78.1,3.8,29.5,,,,,,,,,,,
Thiruvananthapuram,02-01-2018,64.43,88.75,1.96,7.51,5.59,9.27,1.32,3.29,44.93,7.79,2.62,119,Moderate,82.4,76,81.4,4.3,29.6,,,,,,,,,,,
Thiruvananthapuram,03-01-2018,57.45,78.75,1.89,10.46,7.11,11.36,1.36,6.04,67.08,7.79,2.62,99,Satisfactory,82.5,74,76.5,5.1,29.6,,,,,,,,,,,
Thiruvananthapuram,04-01-2018,67,90.64,1.94,16.88,10.52,9.93,1.4,5.21,48.75,7.79,2.62,106,Moderate,82.1,72.3,72.7,3.8,29.6,,,,,,,,,,,
Thiruvananthapuram,05-01-2018,76.69,118,1.98,15.1,9.62,11.15,1.32,7.36,46.77,7.79,2.62,145,Moderate,82,70.1,67.4,5.3,29.6,,,,,,,,,,,
Thiruvananthapuram,06-01-2018,83.73,117.45,1.92,16.16,10.12,11.25,1.32,8.37,63.19,7.79,2.62,155,Moderate,80.9,70.8,72.7,4.4,29.6,,,,,,,,,,,
Thiruvananthapuram,07-01-2018,78.68,101.17,1.9,10.07,6.9,10.54,1.27,6.67,59.76,7.79,2.62,186,Moderate,80.6,72.2,75.5,5.2,29.6,,,,,,,,,,,
Thiruvananthapuram,08-01-2018,69.38,95.2,1.98,17.84,10.93,10.15,1.69,6.81,55.21,7.79,2.62,127,Moderate,80.3,71.7,75.3,4,29.6,,,,,,,,,,,
Thiruvananthapuram,09-01-2018,83.7,115.88,1.89,18.3,11.15,11.01,1.55,6.16,40.89,7.79,2.62,137,Moderate,81.2,73.9,79.3,3.6,29.6,,,,,,,,,,,
Thiruvananthapuram,10-01-2018,81.02,109.22,1.83,15.68,9.77,10.88,1.58,7.43,35.72,7.79,2.62,169,Moderate,83,74.9,77.4,4.7,29.6,,,,,,,,,,,
Thiruvananthapuram,11-01-2018,51.42,71.31,1.89,15.84,9.68,7.89,1.57,5.36,39,7.79,2.62,123,Moderate,82.5,73.4,74.7,4.3,29,,,,,,,,,,,
Thiruvananthapuram,12-01-2018,53.08,71.91,1.87,15.32,9.51,7.09,1.59,4.72,69.77,7.79,2.62,157,Moderate,83.4,75.2,76.4,5.1,29.6,,,,,,,,,,,
Thiruvananthapuram,13-01-2018,47.04,67.32,1.88,14.84,9.35,7.43,1.58,5.48,35.78,7.79,2.62,127,Moderate,82.8,76.1,80.2,4.2,29.6,,,,,,,,,,,
Thiruvananthapuram,14-01-2018,38.06,53.93,1.91,10.5,7.08,6.23,1.25,4.52,56.36,7.79,2.62,120,Moderate,80.2,71.7,75.8,4,29.6,,,,,,,,,,,
Thiruvananthapuram,15-01-2018,50.17,72.73,1.88,15.14,9.49,6.37,1.58,6.34,49.1,7.79,2.62,162,Moderate,81.6,74.3,78.8,3.8,29.6,,,,,,,,,,,
Thiruvananthapuram,16-01-2018,72.69,95.26,1.79,17.55,10.75,6.73,1.54,5.81,17.45,7.79,2.62,108,Moderate,81.2,72.7,76.3,4.5,29.6,,,,,,,,,,,
Thiruvananthapuram,17-01-2018,80.8,109.18,1.94,15.92,10.02,7.53,1.6,7.96,85.18,7.79,2.62,182,Moderate,81.3,72.5,74.5,3.9,29.6,,,,,,,,,,,
Thiruvananthapuram,18-01-2018,72.59,102.56,1.84,14.03,8.88,9.28,1.56,5.14,71.98,7.79,2.62,163,Moderate,81.5,68.9,66.9,4.2,29.6,,,,,,,,,,,
Thiruvananthapuram,19-01-2018,67.73,98.15,1.92,16.13,10.15,9.1,1.4,8.08,55.7,7.79,2.62,120,Moderate,81,70.1,70.5,4.8,29.6,,,,,,,,,,,
Thiruvananthapuram,20-01-2018,81.25,115.98,1.94,18.91,11.55,9.12,1.47,8.59,71.96,7.79,2.62,125,Moderate,79.9,71.8,77,3.9,29.6,,,,,,,,,,,
Thiruvananthapuram,21-01-2018,88.14,118.82,1.93,12.51,8.2,10.24,1.48,7.23,83.6,7.79,2.62,204,Poor,80.8,72,74.5,4,29.6,,,,,,,,,,,
Thiruvananthapuram,22-01-2018,83.84,115.3,1.84,17.52,10.76,9.42,1.8,5.24,82.67,7.79,2.62,183,Moderate,80.5,71.8,74.5,4.1,29.6,,,,,,,,,,,
Thiruvananthapuram,23-01-2018,84.45,120.64,1.92,16.8,9.58,8.35,1.68,6.63,72.01,7.79,2.62,183,Moderate,81.6,73.4,76.8,4,29.6,,,,,,,,,,,
Thiruvananthapuram,24-01-2018,79.84,112.83,1.7,13.4,8.48,9.33,1.17,5.65,61.27,7.79,2.62,170,Moderate,82.4,75.8,81.1,5.3,29.6,,,,,,,,,,,
Thiruvananthapuram,25-01-2018,57.42,84.26,1.54,11.85,7.51,7.65,0.91,5.66,33.61,7.79,2.62,132,Moderate,82.8,74,75.8,4.7,29.5,,,,,,,,,,,
Thiruvananthapuram,26-01-2018,55.36,89.49,1.69,14.22,8.92,6.62,0.89,7.52,32.93,7.79,2.62,92,Satisfactory,82.4,73.2,75,4.7,29.6,,,,,,,,,,,
Thiruvananthapuram,27-01-2018,61.78,99.88,1.67,11.75,7.61,7.78,0.88,9.01,49.57,7.79,2.62,99,Satisfactory,82.5,73.9,76.1,5,29.6,,,,,,,,,,,
Thiruvananthapuram,28-01-2018,49.7,71.88,1.67,13.8,8.7,6.94,0.92,6.7,35.46,7.79,2.62,93,Satisfactory,78.7,73.2,83.7,3.7,29.6,,,,,,,,,,,
Thiruvananthapuram,29-01-2018,70.43,99.08,1.76,16.42,10.13,5.49,1.18,6.18,50.39,7.79,2.62,112,Moderate,82.2,74.3,77.7,4.2,29.6,,,,,,,,,,,
Thiruvananthapuram,30-01-2018,68.26,96.6,1.75,12.11,7.84,6.18,0.92,4.95,52.8,7.79,2.62,121,Moderate,83.7,74.7,75.7,5.7,29.6,,,,,,,,,,,
Thiruvananthapuram,31-01-2018,65.86,107.96,1.78,14.05,8.93,5.91,1.16,7.95,63.42,7.79,2.62,130,Moderate,84.1,72.8,69,4.6,29.6,,,,,,,,,,,
Thiruvananthapuram,01-02-2018,75.74,114.76,1.82,9.16,6.26,5.89,1.14,5.4,51.89,7.79,2.62,144,Moderate,82.6,73.5,74.3,5.3,29.6,,,,,,,,,,,
Thiruvananthapuram,02-02-2018,64.95,102.16,1.91,21.42,5.83,3.97,1.06,6.28,62.62,7.79,2.62,132,Moderate,83.5,67.9,61.6,4.7,29.6,,,,,,,,,,,
Thiruvananthapuram,03-02-2018,54.76,96.7,1.65,16.6,10.17,8.29,0.96,8.15,68.96,7.79,2.62,124,Moderate,82.3,67.3,61.3,4.8,29.6,,,,,,,,,,,
Thiruvananthapuram,04-02-2018,56.47,95.27,1.69,12.04,7.77,7.38,0.9,7.65,73.09,7.79,2.62,111,Moderate,82.3,72.5,72.9,4.8,29.6,,,,,,,,,,,
Thiruvananthapuram,05-02-2018,55.14,93.88,1.67,12.09,7.76,6.82,0.94,7.87,61.4,7.79,2.62,100,Satisfactory,83.4,74.9,76.2,4.8,29.6,,,,,,,,,,,
Thiruvananthapuram,06-02-2018,52.43,89.88,1.71,11.41,7.45,5.81,0.91,7.27,52.53,7.79,2.62,96,Satisfactory,83.9,75,75.5,5.7,29.6,,,,,,,,,,,
Thiruvananthapuram,07-02-2018,41.4,71.72,1.79,11.18,7.41,4.84,0.94,4.22,47.85,7.79,2.62,80,Satisfactory,82.2,74.5,77.7,5.3,29.6,,,,,,,,,,,
Thiruvananthapuram,08-02-2018,30.24,47.29,1.66,14.71,9.07,4.22,0.89,5.42,36.32,7.79,2.62,66,Satisfactory,83.7,75.6,77.3,5.5,29.6,,,,,,,,,,,
Thiruvananthapuram,09-02-2018,42.41,63.08,1.81,15.58,9.72,4.92,0.95,6.25,51.88,7.79,2.62,80,Satisfactory,83.5,74.6,76.1,4.2,29.6,,,,,,,,,,,
Thiruvananthapuram,10-02-2018,42.91,65.34,1.83,12.29,7.92,5.96,0.95,3.92,45.62,7.79,2.62,71,Satisfactory,83.6,75.3,76.9,4.8,29.6,,,,,,,,,,,
Thiruvananthapuram,11-02-2018,41.06,70.25,1.82,20.97,12.65,5.38,0.88,4.78,38.89,7.79,2.62,72,Satisfactory,83.3,76.1,79.8,4.9,29.6,,,,,,,,,,,
Thiruvananthapuram,12-02-2018,45.67,77.5,1.77,21.56,11.58,5.45,1.05,27.65,46.7,7.79,2.62,72,Satisfactory,83.7,74.4,74.9,4.4,29.7,,,,,,,,,,,
Thiruvananthapuram,13-02-2018,55.79,86.42,1.72,19.57,11.81,8.94,0.94,6.77,48.7,7.79,2.62,92,Satisfactory,83.9,76.3,78.8,4.4,29.7,,,,,,,,,,,
Thiruvananthapuram,14-02-2018,62.38,95.91,1.71,18.51,11.2,8.47,0.93,6.77,50.03,7.79,2.62,94,Satisfactory,83.7,71.8,68.8,4.1,29.7,,,,,,,,,,,
Thiruvananthapuram,15-02-2018,41.22,84.58,1.67,20.75,12.31,7.17,1.08,5.26,49.33,7.79,2.62,99,Satisfactory,84.2,72.9,69.3,4.3,29.7,,,,,,,,,,,
Thiruvananthapuram,16-02-2018,45.86,72.11,1.57,20.96,12.37,6.63,1.04,4.7,54.5,7.79,2.62,82,Satisfactory,84.6,73.2,70.5,4.2,29.7,,,,,,,,,,,
Thiruvananthapuram,17-02-2018,52.27,82.45,1.65,18.84,11.31,6.34,1.14,7.58,56.25,7.79,2.62,88,Satisfactory,83.8,72.7,70.1,4.4,29.6,,,,,,,,,,,
Thiruvananthapuram,18-02-2018,54.22,82.58,1.79,14.43,9.13,6.59,0.91,7.27,68.39,7.79,2.62,105,Moderate,83.3,73.1,72.6,4.3,29.6,,,,,,,,,,,
Thiruvananthapuram,19-02-2018,60.38,93.06,1.69,19.02,11.44,7.78,1.03,7.37,68.23,7.79,2.62,107,Moderate,83.2,72.1,70.1,4.6,29.6,,,,,,,,,,,
Thiruvananthapuram,20-02-2018,58.11,89.44,1.56,19.72,11.74,7.37,1.09,7.71,61.85,7.79,2.62,105,Moderate,82.7,71.9,70.6,4.2,29.6,,,,,,,,,,,
Thiruvananthapuram,21-02-2018,62.07,101.58,1.68,20.39,12.2,7.39,1.07,6.9,55.37,7.79,2.62,112,Moderate,82.1,71.5,70.5,4.9,29.6,,,,,,,,,,,
Thiruvananthapuram,22-02-2018,47.75,89.49,1.67,17.82,10.8,7.27,0.88,9.69,63.23,7.79,2.62,96,Satisfactory,82.4,72.3,72.3,4.5,29.6,,,,,,,,,,,
Thiruvananthapuram,23-02-2018,41.55,90.78,1.69,20.09,12.02,6.86,0.98,8.05,55.44,7.79,2.62,94,Satisfactory,82.5,73,74.3,4.7,29.6,,,,,,,,,,,
Thiruvananthapuram,24-02-2018,51.15,90.74,1.63,18.48,11.06,8.57,1.02,8.96,55.15,7.79,2.62,93,Satisfactory,83.6,74,74.8,5.1,29.6,,,,,,,,,,,
